ProductID,Name,SafetyStockLevel,ReorderPoint,StandardCost,ListPrice,ProductCategoryID
1,Adjustable Race,1000,750,0.00,0.00,
2,Bearing Ball,1000,750,0.00,0.00,
3,BB Ball Bearing,800,600,0.00,0.00,
4,Headset Ball Bearings,800,600,0.00,0.00,
316,Blade,800,600,0.00,0.00,
317,LL Crankarm,500,375,0.00,0.00,
318,ML Crankarm,500,375,0.00,0.00,
319,HL Crankarm,500,375,0.00,0.00,
320,Chainring Bolts,1000,750,0.00,0.00,
321,Chainring Nut,1000,750,0.00,0.00,
322,Chainring,1000,750,0.00,0.00,
323,Crown Race,1000,750,0.00,0.00,
324,Chain Stays,1000,750,0.00,0.00,
325,Decal 1,1000,750,0.00,0.00,
326,Decal 2,1000,750,0.00,0.00,
327,Down Tube,800,600,0.00,0.00,
328,Mountain End Caps,1000,750,0.00,0.00,
329,Road End Caps,1000,750,0.00,0.00,
330,Touring End Caps,1000,750,0.00,0.00,
331,Fork End,800,600,0.00,0.00,
332,Freewheel,500,375,0.00,0.00,
341,Flat Washer 1,1000,750,0.00,0.00,
342,Flat Washer 6,1000,750,0.00,0.00,
343,Flat Washer 2,1000,750,0.00,0.00,
344,Flat Washer 9,1000,750,0.00,0.00,
345,Flat Washer 4,1000,750,0.00,0.00,
346,Flat Washer 3,1000,750,0.00,0.00,
347,Flat Washer 8,1000,750,0.00,0.00,
348,Flat Washer 5,1000,750,0.00,0.00,
349,Flat Washer 7,1000,750,0.00,0.00,
350,Fork Crown,800,600,0.00,0.00,
351,Front Derailleur Cage,800,600,0.00,0.00,
352,Front Derailleur Linkage,800,600,0.00,0.00,
355,Guide Pulley,800,600,0.00,0.00,
356,LL Grip Tape,800,600,0.00,0.00,
357,ML Grip Tape,800,600,0.00,0.00,
358,HL Grip Tape,800,600,0.00,0.00,
359,Thin-Jam Hex Nut 9,1000,750,0.00,0.00,
360,Thin-Jam Hex Nut 10,1000,750,0.00,0.00,
361,Thin-Jam Hex Nut 1,1000,750,0.00,0.00,
362,Thin-Jam Hex Nut 2,1000,750,0.00,0.00,
363,Thin-Jam Hex Nut 15,1000,750,0.00,0.00,
364,Thin-Jam Hex Nut 16,1000,750,0.00,0.00,
365,Thin-Jam Hex Nut 5,1000,750,0.00,0.00,
366,Thin-Jam Hex Nut 6,1000,750,0.00,0.00,
367,Thin-Jam Hex Nut 3,1000,750,0.00,0.00,
368,Thin-Jam Hex Nut 4,1000,750,0.00,0.00,
369,Thin-Jam Hex Nut 13,1000,750,0.00,0.00,
370,Thin-Jam Hex Nut 14,1000,750,0.00,0.00,
371,Thin-Jam Hex Nut 7,1000,750,0.00,0.00,
372,Thin-Jam Hex Nut 8,1000,750,0.00,0.00,
373,Thin-Jam Hex Nut 12,1000,750,0.00,0.00,
374,Thin-Jam Hex Nut 11,1000,750,0.00,0.00,
375,Hex Nut 5,1000,750,0.00,0.00,
376,Hex Nut 6,1000,750,0.00,0.00,
377,Hex Nut 16,1000,750,0.00,0.00,
378,Hex Nut 17,1000,750,0.00,0.00,
379,Hex Nut 7,1000,750,0.00,0.00,
380,Hex Nut 8,1000,750,0.00,0.00,
381,Hex Nut 9,1000,750,0.00,0.00,
382,Hex Nut 22,1000,750,0.00,0.00,
383,Hex Nut 23,1000,750,0.00,0.00,
384,Hex Nut 12,1000,750,0.00,0.00,
385,Hex Nut 13,1000,750,0.00,0.00,
386,Hex Nut 1,1000,750,0.00,0.00,
387,Hex Nut 10,1000,750,0.00,0.00,
388,Hex Nut 11,1000,750,0.00,0.00,
389,Hex Nut 2,1000,750,0.00,0.00,
390,Hex Nut 20,1000,750,0.00,0.00,
391,Hex Nut 21,1000,750,0.00,0.00,
392,Hex Nut 3,1000,750,0.00,0.00,
393,Hex Nut 14,1000,750,0.00,0.00,
394,Hex Nut 15,1000,750,0.00,0.00,
395,Hex Nut 4,1000,750,0.00,0.00,
396,Hex Nut 18,1000,750,0.00,0.00,
397,Hex Nut 19,1000,750,0.00,0.00,
398,Handlebar Tube,800,600,0.00,0.00,
399,Head Tube,800,600,0.00,0.00,
400,LL Hub,500,375,0.00,0.00,
401,HL Hub,500,375,0.00,0.00,
402,Keyed Washer,1000,750,0.00,0.00,
403,External Lock Washer 3,1000,750,0.00,0.00,
404,External Lock Washer 4,1000,750,0.00,0.00,
405,External Lock Washer 9,1000,750,0.00,0.00,
406,External Lock Washer 5,1000,750,0.00,0.00,
407,External Lock Washer 7,1000,750,0.00,0.00,
