SalesOrderID,OrderDate,DueDate,ShipDate,OnlineOrderFlag,CustomerID,CreditCardID,SubTotal,TaxAmt,Freight,TotalDue
43659,2011-05-31,2011-06-12,2011-06-07,0,29825,16281,20565.6206,1971.5149,616.0984,23153.2339
43660,2011-05-31,2011-06-12,2011-06-07,0,29672,5618,1294.2529,124.2483,38.8276,1457.3288
43661,2011-05-31,2011-06-12,2011-06-07,0,29734,1346,32726.4786,3153.7696,985.553,36865.8012
43662,2011-05-31,2011-06-12,2011-06-07,0,29994,10456,28832.5289,2775.1646,867.2389,32474.9324
43663,2011-05-31,2011-06-12,2011-06-07,0,29565,4322,419.4589,40.2681,12.5838,472.3108
43664,2011-05-31,2011-06-12,2011-06-07,0,29898,806,24432.6088,2344.9921,732.81,27510.4109
43665,2011-05-31,2011-06-12,2011-06-07,0,29580,15232,14352.7713,1375.9427,429.9821,16158.6961
43666,2011-05-31,2011-06-12,2011-06-07,0,30052,13349,5056.4896,486.3747,151.9921,5694.8564
43667,2011-05-31,2011-06-12,2011-06-07,0,29974,10370,6107.082,586.1203,183.1626,6876.3649
43668,2011-05-31,2011-06-12,2011-06-07,0,29614,1566,35944.1562,3461.7654,1081.8017,40487.7233
43669,2011-05-31,2011-06-12,2011-06-07,0,29747,15538,714.7043,70.5175,22.0367,807.2585
43670,2011-05-31,2011-06-12,2011-06-07,0,29566,18017,6122.082,587.5603,183.6126,6893.2549
43671,2011-05-31,2011-06-12,2011-06-07,0,29890,13693,8128.7876,780.8136,244.0042,9153.6054
43672,2011-05-31,2011-06-12,2011-06-07,0,30067,3980,6124.182,587.6023,183.6257,6895.41
43673,2011-05-31,2011-06-12,2011-06-07,0,29844,1417,3746.2015,357.9614,111.8629,4216.0258
43674,2011-05-31,2011-06-12,2011-06-07,0,29596,19204,2624.382,251.9407,78.7315,2955.0542
43675,2011-05-31,2011-06-12,2011-06-07,0,29827,11886,5716.3102,546.8759,170.8987,6434.0848
43676,2011-05-31,2011-06-12,2011-06-07,0,29811,18153,14203.458,1363.266,426.0206,15992.7446
43677,2011-05-31,2011-06-12,2011-06-07,0,29824,14030,7793.1108,747.1011,233.4691,8773.681
43678,2011-05-31,2011-06-12,2011-06-07,0,29889,5093,9799.9243,942.074,294.3981,11036.3964
43679,2011-05-31,2011-06-12,2011-06-07,0,29761,5439,1316.0575,125.8032,39.3135,1481.1742
43680,2011-05-31,2011-06-12,2011-06-07,0,29489,6653,11397.4992,1093.6394,341.7623,12832.9009
43681,2011-05-31,2011-06-12,2011-06-07,0,29661,5301,13787.5434,1323.0668,413.4584,15524.0686
43682,2011-05-31,2011-06-12,2011-06-07,0,29759,76,3875.7229,371.8002,116.1876,4363.7107
43683,2011-05-31,2011-06-12,2011-06-07,0,29497,13045,42813.4333,4107.1489,1283.484,48204.0662
43684,2011-05-31,2011-06-12,2011-06-07,0,29912,267,5596.4705,537.2612,167.8941,6301.6258
43685,2011-05-31,2011-06-12,2011-06-07,0,30084,2519,2736.5678,263.201,82.2503,3082.0191
43686,2011-05-31,2011-06-12,2011-06-07,0,29606,14612,3463.2998,332.4768,103.899,3899.6756
43687,2011-05-31,2011-06-12,2011-06-07,0,29610,3235,1258.3767,120.8042,37.7513,1416.9322
43688,2011-05-31,2011-06-12,2011-06-07,0,29718,12399,12718.0844,1222.8838,382.1512,14323.1194
43689,2011-05-31,2011-06-12,2011-06-07,0,29646,13054,33997.3702,3271.4942,1022.3419,38291.2063
43690,2011-05-31,2011-06-12,2011-06-07,0,29533,2337,1297.5901,124.2027,38.8133,1460.6061
43691,2011-05-31,2011-06-12,2011-06-07,0,29570,242,874.794,83.9802,26.2438,985.018
43692,2011-05-31,2011-06-12,2011-06-07,0,29992,7176,38510.8973,3696.3979,1155.1244,43362.4196
43693,2011-05-31,2011-06-12,2011-06-07,0,29491,8937,20541.4072,1969.5564,615.4864,23126.45
43694,2011-05-31,2011-06-12,2011-06-07,0,29549,7083,20645.634,1978.3257,618.2268,23242.1865
43695,2011-05-31,2011-06-12,2011-06-07,0,29958,10163,39373.781,3787.4632,1183.5823,44344.8265
43696,2011-05-31,2011-06-12,2011-06-07,0,29849,1402,419.4589,40.2681,12.5838,472.3108
43697,2011-05-31,2011-06-12,2011-06-07,1,21768,4319,3578.27,286.2616,89.4568,3953.9884
43698,2011-05-31,2011-06-12,2011-06-07,1,28389,16625,3399.99,271.9992,84.9998,3756.989
43699,2011-05-31,2011-06-12,2011-06-07,1,25863,5796,3399.99,271.9992,84.9998,3756.989
43700,2011-05-31,2011-06-12,2011-06-07,1,14501,12860,699.0982,55.9279,17.4775,772.5036
43701,2011-05-31,2011-06-12,2011-06-07,1,11003,11150,3399.99,271.9992,84.9998,3756.989
43702,2011-06-01,2011-06-13,2011-06-08,1,27645,8087,3578.27,286.2616,89.4568,3953.9884
43703,2011-06-01,2011-06-13,2011-06-08,1,16624,9497,3578.27,286.2616,89.4568,3953.9884
43704,2011-06-01,2011-06-13,2011-06-08,1,11005,1988,3374.99,269.9992,84.3748,3729.364
43705,2011-06-01,2011-06-13,2011-06-08,1,11011,7205,3399.99,271.9992,84.9998,3756.989
43706,2011-06-02,2011-06-14,2011-06-09,1,27621,10912,3578.27,286.2616,89.4568,3953.9884
43707,2011-06-02,2011-06-14,2011-06-09,1,27616,19069,3578.27,286.2616,89.4568,3953.9884
43708,2011-06-02,2011-06-14,2011-06-09,1,20042,4369,699.0982,55.9279,17.4775,772.5036
43709,2011-06-02,2011-06-14,2011-06-09,1,16351,15524,3578.27,286.2616,89.4568,3953.9884
43710,2011-06-02,2011-06-14,2011-06-09,1,16517,5764,3578.27,286.2616,89.4568,3953.9884
43711,2011-06-03,2011-06-15,2011-06-10,1,27606,3043,3578.27,286.2616,89.4568,3953.9884
43712,2011-06-03,2011-06-15,2011-06-10,1,13513,6213,3578.27,286.2616,89.4568,3953.9884
43713,2011-06-04,2011-06-16,2011-06-11,1,27601,16570,3578.27,286.2616,89.4568,3953.9884
43714,2011-06-04,2011-06-16,2011-06-11,1,13591,15963,3578.27,286.2616,89.4568,3953.9884
43715,2011-06-04,2011-06-16,2011-06-11,1,16483,7985,3578.27,286.2616,89.4568,3953.9884
43716,2011-06-04,2011-06-16,2011-06-11,1,16529,5873,3578.27,286.2616,89.4568,3953.9884
43717,2011-06-04,2011-06-16,2011-06-11,1,25249,5700,699.0982,55.9279,17.4775,772.5036
43718,2011-06-05,2011-06-17,2011-06-12,1,27668,3049,3578.27,286.2616,89.4568,3953.9884
43719,2011-06-05,2011-06-17,2011-06-12,1,27612,5998,3578.27,286.2616,89.4568,3953.9884
43720,2011-06-05,2011-06-17,2011-06-12,1,13264,2765,3578.27,286.2616,89.4568,3953.9884
43721,2011-06-05,2011-06-17,2011-06-12,1,13590,11950,3578.27,286.2616,89.4568,3953.9884
43722,2011-06-06,2011-06-18,2011-06-13,1,13581,12191,3578.27,286.2616,89.4568,3953.9884
43723,2011-06-06,2011-06-18,2011-06-13,1,14520,16949,699.0982,55.9279,17.4775,772.5036
43724,2011-06-06,2011-06-18,2011-06-13,1,16520,6336,3578.27,286.2616,89.4568,3953.9884
43725,2011-06-07,2011-06-19,2011-06-14,1,13258,6640,3578.27,286.2616,89.4568,3953.9884
43726,2011-06-07,2011-06-19,2011-06-14,1,14560,8533,699.0982,55.9279,17.4775,772.5036
43727,2011-06-07,2011-06-19,2011-06-14,1,16607,11407,3578.27,286.2616,89.4568,3953.9884
43728,2011-06-08,2011-06-20,2011-06-15,1,27666,15630,3578.27,286.2616,89.4568,3953.9884
43729,2011-06-08,2011-06-20,2011-06-15,1,11238,2636,3399.99,271.9992,84.9998,3756.989
43730,2011-06-08,2011-06-20,2011-06-15,1,25861,13323,3399.99,271.9992,84.9998,3756.989
43731,2011-06-08,2011-06-20,2011-06-15,1,16629,14302,3578.27,286.2616,89.4568,3953.9884
43732,2011-06-08,2011-06-20,2011-06-15,1,11025,10882,3374.99,269.9992,84.3748,3729.364
43733,2011-06-08,2011-06-20,2011-06-15,1,27577,10600,3578.27,286.2616,89.4568,3953.9884
43734,2011-06-09,2011-06-21,2011-06-16,1,27604,15365,3578.27,286.2616,89.4568,3953.9884
43735,2011-06-09,2011-06-21,2011-06-16,1,16522,6526,3578.27,286.2616,89.4568,3953.9884
43736,2011-06-09,2011-06-21,2011-06-16,1,11002,1416,3399.99,271.9992,84.9998,3756.989
43737,2011-06-10,2011-06-22,2011-06-17,1,13261,,3578.27,286.2616,89.4568,3953.9884
43738,2011-06-10,2011-06-22,2011-06-17,1,11606,12005,3578.27,286.2616,89.4568,3953.9884
